Year Day Hour BZ_GSM Speed Proton_Density Plasma_Temp
2025 232 10 2.3 632.0 2.62 147817.1
2025 232 11 -9.33 731.1 9.11 193574.4
2025 232 12 -2.17 580.5 7.05 104766.0
2025 232 13 7.19 335.8 13.57 172966.7
2025 232 14 2.93 492.6 6.37 116390.5
2025 232 15 -7.93 388.2 3.58 51664.1
2025 232 16 8.37 538.4 10.81 113079.6
2025 232 17 -6.5 707.6 10.54 159613.3
2025 232 18 3.7 775.7 3.79 68979.3
2025 232 19 2.59 706.0 5.78 109501.8
2025 232 20 -9.69 475.7 10.62 160772.2
2025 232 21 5.66 537.7 10.13 162899.4
2025 232 22 0.95 351.2 10.44 101774.3
2025 232 23 4.06 336.8 7.55 61542.6
2025 233 0 6.68 377.3 12.26 173485.5
2025 233 1 -2.52 683.2 5.69 107926.8
2025 233 2 -7.3 790.5 12.25 90138.3
2025 233 3 -7.32 316.2 7.2 63723.2
2025 233 4 6.91 740.5 2.87 99552.9
2025 233 5 4.52 999.9 4.22 128081.4
2025 233 6 1.05 728.9 13.24 64041.7
2025 233 7 7.24 626.2 6.36 85668.4
2025 233 8 -2.43 491.2 10.79 84903.1
2025 233 9 1.08 776.7 10.75 192922.8
2025 233 10 -9.15 635.5 1.93 86179.4
2025 233 11 5.82 648.9 7.03 88017.7
2025 233 12 -8.29 396.4 2.15 96265.3
2025 233 13 -9.1 724.4 1.17 76016.5
2025 233 14 -7.56 497.1 8.85 175770.2
2025 233 15 4.14 577.1 14.29 157868.7
2025 233 16 -6.4 698.7 7.44 90019.9
2025 233 17 -8.89 570.3 13.7 154983.5
2025 233 18 7.39 480.5 1.01 59565.7
2025 233 19 1.08 348.3 4.45 85676.0
2025 233 20 4.49 564.6 10.16 110945.4
2025 233 21 8.86 598.1 10.93 197197.1
2025 233 22 -6.72 330.6 5.63 179342.2
2025 233 23 -3.99 475.1 1.62 150150.5
2025 234 0 6.55 689.1 11.74 181271.8
2025 234 1 6.27 769.2 1.75 88797.8
2025 234 2 7.78 714.4 8.73 156406.0
2025 234 3 4.78 331.2 11.64 130682.9
2025 234 4 4.33 702.0 5.33 111773.4
2025 234 5 0.05 999.9 5.44 109171.4
2025 234 6 -4.96 514.6 5.03 160706.4
2025 234 7 5.5 625.6 1.79 111515.1
2025 234 8 -9.43 463.5 10.35 70555.1
2025 234 9 -5.63 380.6 13.05 57275.4
2025 234 10 7.1 640.9 11.08 117980.5
2025 234 11 -3.12 656.3 3.1 56207.7
2025 234 12 -1.14 516.4 2.01 70732.7
2025 234 13 9.37 449.5 8.57 96747.6
2025 234 14 1.94 494.0 10.48 164901.1
2025 234 15 -1.38 512.3 2.53 134843.6
2025 234 16 6.03 658.7 14.46 180597.6
2025 234 17 4.61 597.2 11.6 150524.0
2025 234 18 3.06 559.9 8.96 158989.1
2025 234 19 -1.71 765.1 4.98 153136.7
2025 234 20 9.52 523.0 12.81 110436.7
2025 234 21 -2.52 590.7 11.32 60457.8
2025 234 22 -4.59 721.9 9.93 100268.7
2025 234 23 7.09 747.6 7.31 198636.2
2025 235 0 -8.84 530.1 6.9 144194.3
2025 235 1 -3.43 756.7 12.36 113758.2
2025 235 2 -9.02 600.1 5.3 139386.9
2025 235 3 -3.79 600.8 5.21 91792.2
2025 235 4 8.08 712.3 12.63 157631.9
2025 235 5 5.61 786.3 9.5 57940.6
2025 235 6 -9.76 486.7 14.28 73771.5
2025 235 7 7.97 444.0 12.88 138351.1
2025 235 8 7.13 411.3 2.04 65046.5
2025 235 9 7.95 720.8 9.22 175088.2
2025 235 10 2.71 446.6 1.04 123854.1
2025 235 11 4.25 999.9 8.56 65061.2
2025 235 12 3.28 362.0 3.06 178582.5
2025 235 13 -9.34 558.7 5.21 135735.3
2025 235 14 -8.05 486.3 14.36 159852.0
2025 235 15 -1.75 724.3 11.81 105815.3
2025 235 16 -4.29 391.0 2.63 89440.2
2025 235 17 3.38 747.3 7.42 144839.2
2025 235 18 -6.51 473.7 9.88 110272.0
2025 235 19 -9.36 999.9 5.15 103695.9
2025 235 20 -2.15 626.3 4.36 144008.9
2025 235 21 3.22 763.5 5.16 86461.4
2025 235 22 7.62 599.9 14.89 162357.3
2025 235 23 -2.81 527.6 10.55 108134.3
2025 236 0 5.24 576.4 14.08 188139.4
2025 236 1 -4.62 779.0 6.41 106420.7
2025 236 2 -0.49 543.6 8.41 150507.9
2025 236 3 2.37 425.6 13.26 112634.8
2025 236 4 -2.96 656.7 5.77 54866.1
2025 236 5 6.28 471.6 6.71 52929.0
2025 236 6 -8.44 580.2 9.98 68188.3
2025 236 7 -0.7 307.0 2.73 138320.4
2025 236 8 9.67 665.3 2.93 126185.6
2025 236 9 -8.77 649.3 10.72 66767.5
2025 236 10 -3.98 709.4 11.24 183613.1
2025 236 11 0.9 325.7 1.93 131334.0
2025 236 12 9.96 733.0 10.14 101170.6
2025 236 13 -9.21 563.6 6.99 184242.7
2025 236 14 2.28 686.1 13.85 100967.2
2025 236 15 2.88 328.7 3.7 193902.5
2025 236 16 8.41 349.7 11.05 130888.1
2025 236 17 -5.44 308.2 6.21 108729.3
2025 236 18 -0.77 708.0 10.4 155188.8
2025 236 19 0.66 569.8 3.56 131190.4
2025 236 20 1.04 456.0 13.09 99799.5
2025 236 21 6.53 611.1 9.4 173478.2
2025 236 22 -4.56 328.2 13.46 81818.6
2025 236 23 2.16 308.5 1.86 192815.5
2025 237 0 8.83 642.8 4.58 163690.5
2025 237 1 -2.14 655.1 8.49 145224.7
2025 237 2 -8.32 800.0 12.47 180906.6
2025 237 3 5.63 561.4 10.57 197514.1
2025 237 4 8.26 499.0 9.36 188577.4
2025 237 5 8.77 756.0 14.09 177185.8
2025 237 6 9.28 624.7 7.43 72916.4
2025 237 7 7.97 383.4 3.45 137865.7
2025 237 8 -6.95 702.7 8.22 55583.7
2025 237 9 -7.08 423.2 4.67 120608.7
2025 237 10 8.26 999.9 5.42 161494.7
2025 237 11 -9.91 753.8 3.8 187865.1
2025 237 12 8.97 407.7 4.99 91012.6
2025 237 13 -3.69 341.5 14.46 152617.6
2025 237 14 -0.38 671.7 6.78 192877.4
2025 237 15 -9.76 712.6 4.29 142954.2
2025 237 16 -7.95 640.1 9.17 96153.8
2025 237 17 2.4 761.8 3.59 60648.7
2025 237 18 1.35 744.4 7.33 121422.7
2025 237 19 1.41 535.0 1.54 58652.8
2025 237 20 9.7 503.6 1.17 166874.0
2025 237 21 -4.2 387.1 2.33 100933.3
2025 237 22 -8.61 485.0 10.74 165777.1
2025 237 23 -9.78 446.3 11.76 64452.4
2025 238 0 2.3 382.9 5.47 168752.5
2025 238 1 7.63 562.0 13.21 63266.2
2025 238 2 -5.23 717.4 3.13 195061.8
2025 238 3 -7.32 356.2 5.49 67023.4
2025 238 4 -0.92 999.9 6.62 138237.7
2025 238 5 5.4 470.0 13.06 148193.6
2025 238 6 -3.92 536.7 7.95 93538.2
2025 238 7 -4.87 999.9 2.98 178994.3
2025 238 8 0.79 513.2 9.7 113890.0
2025 238 9 -1.58 310.3 11.18 155013.0
2025 238 10 2.57 999.9 6.72 192715.9
2025 238 11 5.03 402.7 12.15 160997.5
2025 238 12 -6.24 558.5 14.51 75804.4
2025 238 13 -0.24 756.3 9.71 150237.2
2025 238 14 1.56 679.8 9.6 138538.0
2025 238 15 -2.4 511.4 12.43 157604.9
2025 238 16 -0.83 999.9 10.07 177923.2
2025 238 17 5.74 593.7 11.52 59011.1
2025 238 18 3.35 364.1 4.61 123786.2
2025 238 19 -1.5 407.5 11.9 151053.3
2025 238 20 5.78 483.6 4.48 129031.9
2025 238 21 -7.82 736.5 12.39 160499.7
2025 238 22 7.99 439.5 13.31 107803.3
2025 238 23 -8.73 333.7 6.78 77154.9
2025 239 0 6.29 321.0 9.94 67212.3
2025 239 1 7.63 726.7 5.3 192630.5
2025 239 2 -3.9 676.0 13.55 121257.3
2025 239 3 7.44 683.4 11.4 191087.8
2025 239 4 9.93 643.3 8.16 148221.0
2025 239 5 -7.67 382.2 3.6 134631.7
2025 239 6 -2.41 335.6 5.35 133978.4
2025 239 7 -0.07 594.0 9.87 62972.3
2025 239 8 2.95 553.2 12.21 51301.3
2025 239 9 7.38 588.5 13.18 132341.7
2025 239 10 -0.6 733.1 8.44 191717.3
2025 239 11 -3.04 329.9 8.54 94735.8
2025 239 12 6.25 766.7 9.05 77094.8
2025 239 13 6.75 704.9 12.27 150066.8
2025 239 14 -7.63 765.1 1.51 58512.0
2025 239 15 -5.82 472.5 11.13 109854.4
2025 239 16 -3.35 447.5 4.5 135119.8
2025 239 17 -9.79 725.5 14.57 136905.7
2025 239 18 -4.73 304.8 6.46 126099.3
2025 239 19 -3.28 653.1 6.39 181152.2
2025 239 20 -1.66 374.5 3.36 153762.8
2025 239 21 2.92 536.2 11.97 140420.4
2025 239 22 -8.88 388.4 14.11 134064.1
2025 239 23 -9.42 393.6 4.43 74396.9
2025 240 0 9.45 579.0 1.74 68264.7
2025 240 1 -3.95 625.2 13.68 92361.3
2025 240 2 9.14 595.2 1.22 152300.8
2025 240 3 5.01 549.9 14.99 59772.5
2025 240 4 4.41 626.5 6.58 151852.2
2025 240 5 2.51 693.2 2.0 139048.3
2025 240 6 5.32 326.7 5.63 81709.4
2025 240 7 -4.65 489.3 6.07 132208.2
2025 240 8 -5.44 359.5 2.74 136017.9
2025 240 9 -3.24 778.2 9.63 176387.2
2025 240 10 -6.07 589.0 3.58 100951.0
2025 240 11 6.89 462.5 8.42 177124.8
2025 240 12 1.26 603.5 3.94 138532.1
2025 240 13 -1.88 309.1 4.69 178306.2
2025 240 14 9.41 307.7 1.61 94809.1
2025 240 15 3.77 780.9 13.55 152400.4
2025 240 16 6.35 672.7 2.65 83865.4
2025 240 17 -8.36 686.4 7.64 69431.9
2025 240 18 5.92 787.5 6.05 70147.3
2025 240 19 -5.18 757.3 9.06 174118.9
2025 240 20 6.86 545.0 13.29 99141.3
2025 240 21 -2.05 756.9 3.57 68528.3
2025 240 22 2.62 444.1 6.5 62909.0
2025 240 23 7.63 767.0 7.21 115531.2
2025 241 0 -4.2 586.4 14.53 73656.8
2025 241 1 -0.45 460.9 4.84 56946.1
2025 241 2 5.41 327.7 14.03 146352.5
2025 241 3 -1.42 487.6 2.68 93365.2
2025 241 4 -7.22 325.0 10.54 109303.8
2025 241 5 1.98 469.1 8.22 86657.7
2025 241 6 3.68 374.2 14.38 112367.6
2025 241 7 1.21 464.9 8.96 195845.3
2025 241 8 8.22 436.6 4.12 144858.6
2025 241 9 -8.47 650.9 6.12 103998.7
2025 241 10 6.65 999.9 8.22 142810.2
2025 241 11 -1.99 357.7 6.91 81374.4
2025 241 12 -4.71 789.7 5.65 76871.0
2025 241 13 -7.44 513.5 3.87 51903.9
2025 241 14 -6.54 665.8 5.56 137846.8
2025 241 15 -5.69 381.3 3.04 165937.4
2025 241 16 -6.44 748.8 9.47 75512.7
2025 241 17 6.64 736.9 5.32 91292.5
2025 241 18 2.14 784.6 13.69 175141.2
2025 241 19 1.9 477.3 9.44 144881.1
2025 241 20 -9.1 700.3 10.18 181804.1
2025 241 21 8.29 491.4 12.92 178399.7
2025 241 22 9.21 654.1 11.71 185086.2
2025 241 23 -2.72 787.8 5.11 91747.6
2025 242 0 8.12 307.7 12.07 158281.3
2025 242 1 -7.96 999.9 1.31 82611.6
2025 242 2 4.24 523.8 12.03 97809.6
2025 242 3 -9.32 656.9 11.82 82920.2
2025 242 4 0.5 415.1 5.53 76207.8
2025 242 5 -3.39 383.0 8.17 142752.3
2025 242 6 -7.05 544.1 6.96 124263.7
2025 242 7 -8.18 750.8 10.11 119044.3
2025 242 8 6.75 660.0 8.56 54193.1
2025 242 9 -5.24 412.3 3.97 80956.4
2025 242 10 -4.83 462.3 1.06 81449.0
2025 242 11 -3.24 999.9 4.32 76258.7
2025 242 12 -0.33 391.4 1.83 74053.9
2025 242 13 -4.14 469.7 11.73 148471.4
2025 242 14 -8.73 557.9 7.26 180367.3
2025 242 15 -1.1 517.8 2.75 54173.9
2025 242 16 9.41 443.6 7.41 194078.4
2025 242 17 -3.85 706.8 9.92 54536.4
2025 242 18 2.47 560.3 14.9 95020.0
2025 242 19 -9.25 530.6 11.58 182254.5
2025 242 20 -7.47 732.7 9.41 53458.9
2025 242 21 4.8 351.8 11.74 96750.4
2025 242 22 0.3 472.8 1.75 176621.0
2025 242 23 -6.01 416.0 3.16 167197.2
2025 243 0 9.2 999.9 9.71 174442.6
2025 243 1 -0.38 333.6 3.02 56130.4
2025 243 2 -5.62 594.6 12.04 70858.0
2025 243 3 -4.18 999.9 5.01 120884.6
2025 243 4 -6.34 519.3 12.61 133745.5
2025 243 5 2.93 576.8 1.28 163163.7
2025 243 6 -5.56 429.3 6.37 160889.2
2025 243 7 -3.89 999.9 4.33 153112.1
2025 243 8 -3.94 582.2 6.45 113892.7
2025 243 9 7.99 522.8 6.18 161531.8
2025 243 10 -5.08 323.6 12.92 172563.6
2025 243 11 9.46 775.5 9.09 136043.7
2025 243 12 8.96 554.2 3.08 125197.8
2025 243 13 3.31 621.3 12.32 163182.8
2025 243 14 -4.82 799.9 12.35 52256.6
2025 243 15 9.13 456.3 12.97 60979.4
2025 243 16 8.1 499.6 5.87 86933.5
2025 243 17 8.45 684.7 6.18 193499.2
2025 243 18 -9.36 482.2 11.28 73359.0
2025 243 19 -1.27 619.7 4.56 124992.9
2025 243 20 -0.42 555.2 2.73 106099.7
2025 243 21 6.39 358.2 11.03 129215.0
2025 243 22 5.33 999.9 6.6 147968.5
2025 243 23 -2.82 668.5 13.81 140631.4
2025 244 0 3.28 533.8 4.73 139360.5
2025 244 1 9.29 522.6 9.45 171622.7
2025 244 2 2.81 790.0 9.54 178645.3
2025 244 3 2.57 317.7 11.63 168026.1
2025 244 4 -0.3 561.8 14.75 125514.4
2025 244 5 -1.46 432.3 4.04 128031.1
2025 244 6 3.78 412.1 13.89 59563.7
2025 244 7 -2.01 999.9 6.48 115933.1
2025 244 8 8.28 642.1 4.85 133646.6
2025 244 9 2.46 684.7 14.04 156923.0
2025 244 10 -1.59 418.3 7.23 68920.0
2025 244 11 8.21 461.3 13.87 192079.1
2025 244 12 -6.86 549.4 7.54 61911.6
2025 244 13 4.62 433.8 3.79 168300.2
2025 244 14 3.82 355.7 1.98 196438.0
2025 244 15 0.19 476.5 14.17 179925.4
2025 244 16 5.86 569.4 4.49 73486.4
2025 244 17 9.08 380.7 5.21 130783.3
2025 244 18 -1.03 773.9 4.65 161500.4
2025 244 19 4.8 583.3 5.83 88334.6
2025 244 20 -2.63 525.8 13.39 151457.2
2025 244 21 -9.78 334.2 9.41 169433.6
2025 244 22 7.96 429.0 9.58 142916.3
2025 244 23 -5.39 757.5 2.29 101714.0
2025 245 0 -9.03 502.0 3.8 181798.7
2025 245 1 -7.43 389.5 12.93 107109.4
2025 245 2 2.93 513.5 5.09 160852.4
2025 245 3 2.24 538.9 1.72 183571.3
2025 245 4 -7.23 721.7 10.1 182486.5
2025 245 5 -7.82 545.0 7.71 120448.1
2025 245 6 8.62 799.4 14.0 70655.5
2025 245 7 -8.96 393.2 7.44 170074.7
2025 245 8 0.62 353.3 4.83 106235.8
2025 245 9 -0.44 605.9 14.3 178042.5
2025 245 10 -6.25 506.1 12.19 108463.3
2025 245 11 7.73 616.4 1.02 121090.2
2025 245 12 -6.48 605.9 3.75 81697.1
2025 245 13 -3.91 351.4 8.03 83050.0
2025 245 14 7.22 571.4 10.5 75774.2
2025 245 15 1.91 533.4 7.15 179029.9
2025 245 16 2.9 487.1 4.75 133916.4
2025 245 17 -1.19 327.7 13.65 170227.8
2025 245 18 -2.26 569.3 2.91 163572.2
2025 245 19 9.26 672.7 4.25 83064.1
2025 245 20 4.5 765.0 8.42 83983.4
2025 245 21 8.0 459.7 14.94 97238.2
2025 245 22 7.55 381.2 14.96 134532.7
2025 245 23 4.99 999.9 4.58 114725.7
2025 246 0 5.34 557.0 7.7 96623.2
2025 246 1 -5.76 504.8 10.37 53856.6
2025 246 2 9.61 555.0 14.25 90584.1
2025 246 3 4.2 789.2 3.89 185094.1
2025 246 4 -5.75 723.0 5.86 181438.8
2025 246 5 7.62 460.3 10.04 79273.0
2025 246 6 -8.14 999.9 14.31 130606.0
2025 246 7 -1.38 792.5 4.94 183630.9
2025 246 8 -2.82 535.4 8.2 127400.4
2025 246 9 -7.52 999.9 3.32 113372.6
2025 246 10 -1.74 616.7 1.23 125353.6
2025 246 11 2.99 797.8 1.35 69702.3
2025 246 12 1.81 687.1 12.29 188208.1
2025 246 13 -5.75 999.9 8.24 101811.3
2025 246 14 -8.15 368.1 10.45 186112.7
2025 246 15 -3.38 729.0 9.02 51639.1
2025 246 16 1.1 575.6 5.02 176433.3
2025 246 17 8.81 515.3 11.4 70135.9
2025 246 18 0.07 452.5 14.48 103477.2
2025 246 19 3.17 572.1 1.31 90875.5
2025 246 20 5.28 730.3 5.01 115483.9
2025 246 21 -5.28 585.0 7.08 131798.7
2025 246 22 7.51 631.1 6.22 152228.3
2025 246 23 8.88 795.4 14.63 116044.9
2025 247 0 -8.98 760.9 6.9 82348.5
2025 247 1 6.48 565.6 11.32 126708.6
2025 247 2 -0.51 353.4 8.01 101267.8
2025 247 3 -7.73 394.5 9.34 95287.3
2025 247 4 -0.78 590.0 10.1 182514.0
2025 247 5 5.35 377.9 12.0 56110.7
2025 247 6 8.37 695.5 4.42 131267.2
2025 247 7 7.24 376.5 13.16 68313.9
2025 247 8 7.38 776.6 12.55 126066.3
2025 247 9 -7.33 569.9 6.23 84675.6
2025 247 10 -7.48 447.5 13.77 99273.5
2025 247 11 -6.05 703.3 4.2 136815.1
2025 247 12 -2.6 612.0 3.46 184854.9
2025 247 13 3.87 416.7 14.0 127268.3
2025 247 14 7.3 433.4 12.12 114080.9
2025 247 15 -8.92 534.3 14.73 111038.3
2025 247 16 -5.57 398.2 10.53 175569.3
2025 247 17 -1.09 378.8 5.9 148235.5
2025 247 18 4.72 782.6 2.52 73979.8
2025 247 19 -1.47 552.1 4.77 79893.2
2025 247 20 5.83 447.6 3.8 83180.4
2025 247 21 -1.93 631.5 14.93 178983.5
2025 247 22 0.21 506.2 3.89 68435.5
2025 247 23 -0.98 734.8 5.94 84208.3
2025 248 0 -5.58 671.1 10.42 83707.2
2025 248 1 -0.87 999.9 10.15 136380.2
2025 248 2 -8.84 571.2 2.59 167629.1
2025 248 3 -0.81 686.1 6.98 185868.7
2025 248 4 0.03 438.2 10.66 177605.5
2025 248 5 4.51 356.1 10.96 186439.7
2025 248 6 3.88 398.6 5.79 138888.8
2025 248 7 -5.01 412.9 6.6 67702.3
2025 248 8 -7.75 446.7 6.31 193778.5
2025 248 9 -0.67 545.9 12.85 83509.9
2025 248 10 2.54 630.3 2.66 189160.9
2025 248 11 -4.51 486.6 2.83 56292.0
2025 248 12 -8.66 662.4 9.07 56745.7
2025 248 13 0.42 695.0 3.69 178542.4
2025 248 14 -4.51 352.5 9.05 83787.6
2025 248 15 3.37 332.0 11.12 182630.3
2025 248 16 6.81 693.7 2.01 120731.1
2025 248 17 3.92 557.9 5.28 128076.9
2025 248 18 9.38 596.9 5.87 152764.6
2025 248 19 8.91 512.1 3.67 83359.1
2025 248 20 6.17 309.0 6.27 152039.9
2025 248 21 9.79 671.5 3.07 122711.4
2025 248 22 0.96 358.7 6.24 88896.4
2025 248 23 -4.21 381.6 13.33 158387.6
2025 249 0 -9.75 483.0 9.74 154148.5
2025 249 1 3.52 671.3 9.24 178168.5
2025 249 2 0.62 348.9 8.8 144502.0
2025 249 3 -4.15 434.1 5.03 101049.7
2025 249 4 -4.73 320.1 3.4 113530.5
2025 249 5 -0.02 524.7 3.43 159809.6
2025 249 6 -0.78 999.9 6.98 129860.2
2025 249 7 -2.64 773.0 1.34 81814.7
2025 249 8 -4.99 384.4 2.78 93741.0
2025 249 9 7.1 648.0 8.31 135777.1
2025 249 10 6.91 402.9 1.82 100171.2
2025 249 11 -7.43 398.4 7.95 144131.3
2025 249 12 -8.62 400.6 14.41 156675.5
2025 249 13 4.96 681.3 6.09 56037.7
2025 249 14 -4.37 413.2 7.62 111959.6
2025 249 15 7.93 999.9 10.77 56216.8
2025 249 16 -2.03 565.2 12.7 51721.9
2025 249 17 5.09 482.7 7.77 56904.8
2025 249 18 5.27 999.9 1.21 189347.8
2025 249 19 4.92 716.4 3.05 96049.0
2025 249 20 -8.9 503.4 3.83 59996.4
2025 249 21 9.63 569.9 13.8 139468.1
2025 249 22 -0.48 329.7 6.72 101710.4
2025 249 23 3.85 390.6 6.48 107939.9
2025 250 0 -3.2 793.0 13.48 101478.5
2025 250 1 4.97 784.3 1.3 64651.9
2025 250 2 -7.92 584.2 2.35 187218.9
2025 250 3 -1.65 413.4 12.59 143081.8
2025 250 4 5.06 556.1 9.49 141117.2
2025 250 5 0.66 747.6 13.3 126670.8
2025 250 6 -7.63 476.3 10.15 95779.8
2025 250 7 4.48 447.3 13.15 113965.2
2025 250 8 -5.84 534.1 7.6 56747.2
2025 250 9 -7.47 349.6 13.44 159989.2
2025 250 10 0.27 999.9 8.01 53713.6
2025 250 11 -4.97 797.3 12.4 87792.5
2025 250 12 -5.43 544.8 7.13 69819.5
2025 250 13 6.47 398.3 4.6 139326.5
2025 250 14 -0.69 721.0 11.88 87215.7
2025 250 15 -0.85 423.2 5.05 184130.0
2025 250 16 6.31 706.7 10.42 54330.2
2025 250 17 -6.42 552.8 7.37 150271.5
2025 250 18 -6.22 305.1 1.91 111857.8
2025 250 19 -9.7 399.7 3.04 186070.0
2025 250 20 -7.32 737.0 1.59 189027.1
2025 250 21 4.01 550.5 9.97 144105.5
2025 250 22 -7.89 400.2 3.41 190199.9
2025 250 23 -7.84 580.8 4.96 123526.1
2025 251 0 5.18 532.7 11.39 52022.2
2025 251 1 -8.4 999.9 10.77 81825.8
2025 251 2 -0.03 325.8 10.59 190930.9
2025 251 3 -5.71 402.9 2.18 109829.0
2025 251 4 -5.3 423.6 6.46 190185.5
2025 251 5 5.53 757.5 9.0 194387.1
2025 251 6 -2.68 403.7 11.22 151126.8
2025 251 7 -4.14 775.8 5.93 189362.7
2025 251 8 -3.56 704.8 3.39 53511.1
2025 251 9 4.22 301.5 3.74 76484.2
2025 251 10 -4.49 750.8 3.16 179894.1
2025 251 11 1.87 342.4 3.98 122007.8
2025 251 12 -0.9 548.6 13.97 143376.4
