Date Time SML SMU
2025-09-25 22:24:05 -730 282
2025-09-25 22:25:05 -173 496
2025-09-25 22:26:05 -775 57
2025-09-25 22:27:05 -713 385
2025-09-25 22:28:05 -811 83
2025-09-25 22:29:05 -805 372
2025-09-25 22:30:05 -239 74
2025-09-25 22:31:05 -193 477
2025-09-25 22:32:05 -225 255
2025-09-25 22:33:05 -270 270
2025-09-25 22:34:05 -466 186
2025-09-25 22:35:05 -352 260
2025-09-25 22:36:05 -715 304
2025-09-25 22:37:05 -411 328
2025-09-25 22:38:05 -835 238
2025-09-25 22:39:05 -585 107
2025-09-25 22:40:05 -165 499
2025-09-25 22:41:05 -308 180
2025-09-25 22:42:05 -372 487
2025-09-25 22:43:05 -96 281
2025-09-25 22:44:05 -334 284
2025-09-25 22:45:05 -498 227
2025-09-25 22:46:05 -402 419
2025-09-25 22:47:05 -850 263
2025-09-25 22:48:05 -562 265
2025-09-25 22:49:05 -885 141
2025-09-25 22:50:05 -485 90
2025-09-25 22:51:05 -481 304
2025-09-25 22:52:05 -326 484
2025-09-25 22:53:05 -246 61
2025-09-25 22:54:05 -400 96
2025-09-25 22:55:05 -865 418
2025-09-25 22:56:05 -546 476
2025-09-25 22:57:05 -69 128
2025-09-25 22:58:05 -916 428
2025-09-25 22:59:05 -594 354
2025-09-25 23:00:05 -450 249
2025-09-25 23:01:05 -248 436
2025-09-25 23:02:05 -269 240
2025-09-25 23:03:05 -989 184
2025-09-25 23:04:05 -933 452
2025-09-25 23:05:05 -671 278
2025-09-25 23:06:05 -553 309
2025-09-25 23:07:05 -662 240
2025-09-25 23:08:05 -461 280
2025-09-25 23:09:05 -808 225
2025-09-25 23:10:05 -95 459
2025-09-25 23:11:05 -420 126
2025-09-25 23:12:05 -167 107
2025-09-25 23:13:05 -929 207
2025-09-25 23:14:05 -538 397
2025-09-25 23:15:05 -890 63
2025-09-25 23:16:05 -765 274
2025-09-25 23:17:05 -791 136
2025-09-25 23:18:05 -753 211
2025-09-25 23:19:05 -610 95
2025-09-25 23:20:05 -218 380
2025-09-25 23:21:05 -272 182
2025-09-25 23:22:05 -376 91
2025-09-25 23:23:05 -921 336
2025-09-25 23:24:05 -989 62
2025-09-25 23:25:05 -231 81
2025-09-25 23:26:05 -212 118
2025-09-25 23:27:05 -295 374
2025-09-25 23:28:05 -593 306
2025-09-25 23:29:05 -391 231
2025-09-25 23:30:05 -990 154
2025-09-25 23:31:05 -66 161
2025-09-25 23:32:05 -898 232
2025-09-25 23:33:05 -952 140
2025-09-25 23:34:05 -938 102
2025-09-25 23:35:05 -960 465
2025-09-25 23:36:05 -564 319
2025-09-25 23:37:05 -393 178
2025-09-25 23:38:05 -103 307
2025-09-25 23:39:05 -218 351
2025-09-25 23:40:05 -374 64
2025-09-25 23:41:05 -637 179
2025-09-25 23:42:05 -998 300
2025-09-25 23:43:05 -291 345
2025-09-25 23:44:05 -990 282
2025-09-25 23:45:05 -349 329
2025-09-25 23:46:05 -97 163
2025-09-25 23:47:05 -384 334
2025-09-25 23:48:05 -976 426
2025-09-25 23:49:05 -625 132
2025-09-25 23:50:05 -635 210
2025-09-25 23:51:05 -465 449
2025-09-25 23:52:05 -423 231
2025-09-25 23:53:05 -421 287
2025-09-25 23:54:05 -620 380
2025-09-25 23:55:05 -594 85
2025-09-25 23:56:05 -691 212
2025-09-25 23:57:05 -323 222
2025-09-25 23:58:05 -563 455
2025-09-25 23:59:05 -762 78
2025-09-26 00:00:05 -713 181
2025-09-26 00:01:05 -992 481
2025-09-26 00:02:05 -474 387
2025-09-26 00:03:05 -869 81
2025-09-26 00:04:05 -794 436
2025-09-26 00:05:05 -241 333
2025-09-26 00:06:05 -334 54
2025-09-26 00:07:05 -425 78
2025-09-26 00:08:05 -635 435
2025-09-26 00:09:05 -62 383
2025-09-26 00:10:05 -630 374
2025-09-26 00:11:05 -56 377
2025-09-26 00:12:05 -122 311
2025-09-26 00:13:05 -837 442
2025-09-26 00:14:05 -945 304
2025-09-26 00:15:05 -522 157
2025-09-26 00:16:05 -583 181
2025-09-26 00:17:05 -962 105
2025-09-26 00:18:05 -425 276
2025-09-26 00:19:05 -126 360
2025-09-26 00:20:05 -596 288
2025-09-26 00:21:05 -245 408
2025-09-26 00:22:05 -553 112
2025-09-26 00:23:05 -677 101
2025-09-26 00:24:05 -82 230
2025-09-26 00:25:05 -261 363
2025-09-26 00:26:05 -916 53
2025-09-26 00:27:05 -436 335
2025-09-26 00:28:05 -940 257
2025-09-26 00:29:05 -770 374
2025-09-26 00:30:05 -637 270
2025-09-26 00:31:05 -720 78
2025-09-26 00:32:05 -527 472
2025-09-26 00:33:05 -925 401
2025-09-26 00:34:05 -516 211
2025-09-26 00:35:05 -566 383
2025-09-26 00:36:05 -108 454
2025-09-26 00:37:05 -535 444
2025-09-26 00:38:05 -430 323
2025-09-26 00:39:05 -385 350
2025-09-26 00:40:05 -489 461
2025-09-26 00:41:05 -397 345
2025-09-26 00:42:05 -61 400
2025-09-26 00:43:05 -583 302
2025-09-26 00:44:05 -630 57
2025-09-26 00:45:05 -909 111
2025-09-26 00:46:05 -345 342
2025-09-26 00:47:05 -441 292
2025-09-26 00:48:05 -854 240
2025-09-26 00:49:05 -652 213
2025-09-26 00:50:05 -810 333
2025-09-26 00:51:05 -597 373
2025-09-26 00:52:05 -777 494
2025-09-26 00:53:05 -104 215
2025-09-26 00:54:05 -559 316
2025-09-26 00:55:05 -941 279
2025-09-26 00:56:05 -63 253
2025-09-26 00:57:05 -947 243
2025-09-26 00:58:05 -551 274
2025-09-26 00:59:05 -746 344
2025-09-26 01:00:05 -159 274
2025-09-26 01:01:05 -247 150
2025-09-26 01:02:05 -89 425
2025-09-26 01:03:05 -982 75
2025-09-26 01:04:05 -619 70
2025-09-26 01:05:05 -207 123
2025-09-26 01:06:05 -92 326
2025-09-26 01:07:05 -217 401
2025-09-26 01:08:05 -871 323
2025-09-26 01:09:05 -190 432
2025-09-26 01:10:05 -599 146
2025-09-26 01:11:05 -458 330
2025-09-26 01:12:05 -383 401
2025-09-26 01:13:05 -904 420
2025-09-26 01:14:05 -696 164
2025-09-26 01:15:05 -845 216
2025-09-26 01:16:05 -507 260
2025-09-26 01:17:05 -712 216
2025-09-26 01:18:05 -183 193
2025-09-26 01:19:05 -506 405
2025-09-26 01:20:05 -248 97
2025-09-26 01:21:05 -845 371
2025-09-26 01:22:05 -824 417
2025-09-26 01:23:05 -673 103
2025-09-26 01:24:05 -993 481
2025-09-26 01:25:05 -539 202
2025-09-26 01:26:05 -378 363
2025-09-26 01:27:05 -332 192
2025-09-26 01:28:05 -610 330
2025-09-26 01:29:05 -563 72
2025-09-26 01:30:05 -804 186
2025-09-26 01:31:05 -861 188
2025-09-26 01:32:05 -445 180
2025-09-26 01:33:05 -165 453
2025-09-26 01:34:05 -662 192
2025-09-26 01:35:05 -154 247
2025-09-26 01:36:05 -604 124
2025-09-26 01:37:05 -552 418
2025-09-26 01:38:05 -762 371
2025-09-26 01:39:05 -432 142
2025-09-26 01:40:05 -573 298
2025-09-26 01:41:05 -777 368
2025-09-26 01:42:05 -416 226
2025-09-26 01:43:05 -378 212
2025-09-26 01:44:05 -366 498
2025-09-26 01:45:05 -189 430
2025-09-26 01:46:05 -723 303
2025-09-26 01:47:05 -791 244
2025-09-26 01:48:05 -900 113
2025-09-26 01:49:05 -519 357
2025-09-26 01:50:05 -197 235
2025-09-26 01:51:05 -266 155
2025-09-26 01:52:05 -345 379
2025-09-26 01:53:05 -392 219
2025-09-26 01:54:05 -891 297
2025-09-26 01:55:05 -595 190
2025-09-26 01:56:05 -968 117
2025-09-26 01:57:05 -263 434
2025-09-26 01:58:05 -452 177
2025-09-26 01:59:05 -347 112
2025-09-26 02:00:05 -708 484
2025-09-26 02:01:05 -920 68
2025-09-26 02:02:05 -261 203
2025-09-26 02:03:05 -326 134
2025-09-26 02:04:05 -550 265
2025-09-26 02:05:05 -340 211
2025-09-26 02:06:05 -71 394
2025-09-26 02:07:05 -560 337
2025-09-26 02:08:05 -261 339
2025-09-26 02:09:05 -413 325
2025-09-26 02:10:05 -187 84
2025-09-26 02:11:05 -349 314
2025-09-26 02:12:05 -730 352
2025-09-26 02:13:05 -292 478
2025-09-26 02:14:05 -898 415
2025-09-26 02:15:05 -822 88
2025-09-26 02:16:05 -476 102
2025-09-26 02:17:05 -770 114
2025-09-26 02:18:05 -670 299
2025-09-26 02:19:05 -558 487
2025-09-26 02:20:05 -458 200
2025-09-26 02:21:05 -615 285
2025-09-26 02:22:05 -322 246
2025-09-26 02:23:05 -210 104
2025-09-26 02:24:05 -78 318
2025-09-26 02:25:05 -205 391
2025-09-26 02:26:05 -741 287
2025-09-26 02:27:05 -663 337
2025-09-26 02:28:05 -121 253
2025-09-26 02:29:05 -528 318
2025-09-26 02:30:05 -302 444
2025-09-26 02:31:05 -191 407
2025-09-26 02:32:05 -482 240
2025-09-26 02:33:05 -910 468
2025-09-26 02:34:05 -289 303
2025-09-26 02:35:05 -559 316
2025-09-26 02:36:05 -948 133
2025-09-26 02:37:05 -780 429
2025-09-26 02:38:05 -631 222
2025-09-26 02:39:05 -223 53
2025-09-26 02:40:05 -506 461
2025-09-26 02:41:05 -977 385
2025-09-26 02:42:05 -700 80
2025-09-26 02:43:05 -297 246
2025-09-26 02:44:05 -161 256
2025-09-26 02:45:05 -350 426
2025-09-26 02:46:05 -164 408
2025-09-26 02:47:05 -930 428
2025-09-26 02:48:05 -711 188
2025-09-26 02:49:05 -671 172
2025-09-26 02:50:05 -372 470
2025-09-26 02:51:05 -634 420
2025-09-26 02:52:05 -351 437
2025-09-26 02:53:05 -418 119
2025-09-26 02:54:05 -398 340
2025-09-26 02:55:05 -699 449
2025-09-26 02:56:05 -990 51
2025-09-26 02:57:05 -650 443
2025-09-26 02:58:05 -82 494
2025-09-26 02:59:05 -541 454
2025-09-26 03:00:05 -908 347
2025-09-26 03:01:05 -196 442
2025-09-26 03:02:05 -781 325
2025-09-26 03:03:05 -197 176
2025-09-26 03:04:05 -300 161
2025-09-26 03:05:05 -847 191
2025-09-26 03:06:05 -379 448
2025-09-26 03:07:05 -665 442
2025-09-26 03:08:05 -323 275
2025-09-26 03:09:05 -87 477
2025-09-26 03:10:05 -271 321
2025-09-26 03:11:05 -452 93
2025-09-26 03:12:05 -413 99
2025-09-26 03:13:05 -825 415
2025-09-26 03:14:05 -889 483
2025-09-26 03:15:05 -633 406
2025-09-26 03:16:05 -709 61
2025-09-26 03:17:05 -147 307
2025-09-26 03:18:05 -364 50
2025-09-26 03:19:05 -436 242
2025-09-26 03:20:05 -669 495
2025-09-26 03:21:05 -338 168
2025-09-26 03:22:05 -213 179
2025-09-26 03:23:05 -940 414
2025-09-26 03:24:05 -526 369
2025-09-26 03:25:05 -556 138
2025-09-26 03:26:05 -257 449
2025-09-26 03:27:05 -329 202
2025-09-26 03:28:05 -595 90
2025-09-26 03:29:05 -108 115
2025-09-26 03:30:05 -512 177
2025-09-26 03:31:05 -849 386
2025-09-26 03:32:05 -781 71
2025-09-26 03:33:05 -864 448
2025-09-26 03:34:05 -589 152
2025-09-26 03:35:05 -404 270
2025-09-26 03:36:05 -572 201
2025-09-26 03:37:05 -293 317
2025-09-26 03:38:05 -463 80
2025-09-26 03:39:05 -942 407
2025-09-26 03:40:05 -383 314
2025-09-26 03:41:05 -430 124
2025-09-26 03:42:05 -949 453
2025-09-26 03:43:05 -698 106
2025-09-26 03:44:05 -602 284
2025-09-26 03:45:05 -690 481
2025-09-26 03:46:05 -922 286
2025-09-26 03:47:05 -98 211
2025-09-26 03:48:05 -291 265
2025-09-26 03:49:05 -394 225
2025-09-26 03:50:05 -545 185
2025-09-26 03:51:05 -933 140
2025-09-26 03:52:05 -700 232
2025-09-26 03:53:05 -661 60
2025-09-26 03:54:05 -171 270
2025-09-26 03:55:05 -563 482
2025-09-26 03:56:05 -503 145
2025-09-26 03:57:05 -482 165
2025-09-26 03:58:05 -848 193
2025-09-26 03:59:05 -998 210
2025-09-26 04:00:05 -290 50
2025-09-26 04:01:05 -907 198
2025-09-26 04:02:05 -314 356
2025-09-26 04:03:05 -813 298
2025-09-26 04:04:05 -574 103
2025-09-26 04:05:05 -179 412
2025-09-26 04:06:05 -900 301
2025-09-26 04:07:05 -171 116
2025-09-26 04:08:05 -764 72
2025-09-26 04:09:05 -983 393
2025-09-26 04:10:05 -690 263
2025-09-26 04:11:05 -472 330
2025-09-26 04:12:05 -782 386
2025-09-26 04:13:05 -246 192
2025-09-26 04:14:05 -486 485
2025-09-26 04:15:05 -908 438
2025-09-26 04:16:05 -448 172
2025-09-26 04:17:05 -962 198
2025-09-26 04:18:05 -584 272
2025-09-26 04:19:05 -568 373
2025-09-26 04:20:05 -136 191
2025-09-26 04:21:05 -322 418
2025-09-26 04:22:05 -811 472
2025-09-26 04:23:05 -478 466
2025-09-26 04:24:05 -679 51
2025-09-26 04:25:05 -673 138
2025-09-26 04:26:05 -119 418
2025-09-26 04:27:05 -644 251
2025-09-26 04:28:05 -292 495
2025-09-26 04:29:05 -774 234
2025-09-26 04:30:05 -690 202
2025-09-26 04:31:05 -900 296
2025-09-26 04:32:05 -325 241
2025-09-26 04:33:05 -544 231
2025-09-26 04:34:05 -921 104
2025-09-26 04:35:05 -329 90
2025-09-26 04:36:05 -824 326
2025-09-26 04:37:05 -433 56
2025-09-26 04:38:05 -556 393
2025-09-26 04:39:05 -563 173
2025-09-26 04:40:05 -523 338
2025-09-26 04:41:05 -937 216
2025-09-26 04:42:05 -639 418
2025-09-26 04:43:05 -340 426
2025-09-26 04:44:05 -137 182
2025-09-26 04:45:05 -461 268
2025-09-26 04:46:05 -583 361
2025-09-26 04:47:05 -921 213
2025-09-26 04:48:05 -760 303
2025-09-26 04:49:05 -124 364
2025-09-26 04:50:05 -493 267
2025-09-26 04:51:05 -250 287
2025-09-26 04:52:05 -771 195
2025-09-26 04:53:05 -643 328
2025-09-26 04:54:05 -821 370
2025-09-26 04:55:05 -298 436
2025-09-26 04:56:05 -437 398
2025-09-26 04:57:05 -144 235
2025-09-26 04:58:05 -415 243
2025-09-26 04:59:05 -869 156
2025-09-26 05:00:05 -999 101
2025-09-26 05:01:05 -919 322
2025-09-26 05:02:05 -99 124
2025-09-26 05:03:05 -531 411
2025-09-26 05:04:05 -324 430
2025-09-26 05:05:05 -605 67
2025-09-26 05:06:05 -547 358
2025-09-26 05:07:05 -291 173
2025-09-26 05:08:05 -870 79
2025-09-26 05:09:05 -570 432
2025-09-26 05:10:05 -467 90
2025-09-26 05:11:05 -676 279
2025-09-26 05:12:05 -845 371
2025-09-26 05:13:05 -879 481
2025-09-26 05:14:05 -660 249
2025-09-26 05:15:05 -814 66
2025-09-26 05:16:05 -946 459
2025-09-26 05:17:05 -501 251
2025-09-26 05:18:05 -541 498
2025-09-26 05:19:05 -339 246
2025-09-26 05:20:05 -489 393
2025-09-26 05:21:05 -918 468
2025-09-26 05:22:05 -396 459
2025-09-26 05:23:05 -810 466
2025-09-26 05:24:05 -513 415
2025-09-26 05:25:05 -750 221
2025-09-26 05:26:05 -934 111
2025-09-26 05:27:05 -874 237
2025-09-26 05:28:05 -856 267
2025-09-26 05:29:05 -511 92
2025-09-26 05:30:05 -240 61
2025-09-26 05:31:05 -896 106
2025-09-26 05:32:05 -555 79
2025-09-26 05:33:05 -867 233
2025-09-26 05:34:05 -865 475
2025-09-26 05:35:05 -839 427
2025-09-26 05:36:05 -453 476
2025-09-26 05:37:05 -646 81
2025-09-26 05:38:05 -332 221
2025-09-26 05:39:05 -146 277
2025-09-26 05:40:05 -502 50
2025-09-26 05:41:05 -809 492
2025-09-26 05:42:05 -688 242
2025-09-26 05:43:05 -601 489
2025-09-26 05:44:05 -444 54
2025-09-26 05:45:05 -941 499
2025-09-26 05:46:05 -846 102
2025-09-26 05:47:05 -869 314
2025-09-26 05:48:05 -522 322
2025-09-26 05:49:05 -466 52
2025-09-26 05:50:05 -767 107
2025-09-26 05:51:05 -911 194
2025-09-26 05:52:05 -614 53
2025-09-26 05:53:05 -176 422
2025-09-26 05:54:05 -686 208
2025-09-26 05:55:05 -299 383
2025-09-26 05:56:05 -123 63
2025-09-26 05:57:05 -986 119
2025-09-26 05:58:05 -245 217
2025-09-26 05:59:05 -132 67
2025-09-26 06:00:05 -228 176
2025-09-26 06:01:05 -306 72
2025-09-26 06:02:05 -807 82
2025-09-26 06:03:05 -872 495
2025-09-26 06:04:05 -873 240
2025-09-26 06:05:05 -821 152
2025-09-26 06:06:05 -496 457
2025-09-26 06:07:05 -754 119
2025-09-26 06:08:05 -515 450
2025-09-26 06:09:05 -468 354
2025-09-26 06:10:05 -554 452
2025-09-26 06:11:05 -340 469
2025-09-26 06:12:05 -406 450
2025-09-26 06:13:05 -264 135
2025-09-26 06:14:05 -333 362
2025-09-26 06:15:05 -898 305
2025-09-26 06:16:05 -903 386
2025-09-26 06:17:05 -159 268
2025-09-26 06:18:05 -727 185
2025-09-26 06:19:05 -779 349
2025-09-26 06:20:05 -259 254
2025-09-26 06:21:05 -534 394
2025-09-26 06:22:05 -637 101
2025-09-26 06:23:05 -550 90
2025-09-26 06:24:05 -221 445
2025-09-26 06:25:05 -701 215
2025-09-26 06:26:05 -212 344
2025-09-26 06:27:05 -101 143
2025-09-26 06:28:05 -486 232
2025-09-26 06:29:05 -317 120
2025-09-26 06:30:05 -627 462
2025-09-26 06:31:05 -128 403
2025-09-26 06:32:05 -382 269
2025-09-26 06:33:05 -88 343
2025-09-26 06:34:05 -692 275
2025-09-26 06:35:05 -952 436
2025-09-26 06:36:05 -615 412
2025-09-26 06:37:05 -480 296
2025-09-26 06:38:05 -577 92
2025-09-26 06:39:05 -973 242
2025-09-26 06:40:05 -855 166
2025-09-26 06:41:05 -969 241
2025-09-26 06:42:05 -818 130
2025-09-26 06:43:05 -572 131
2025-09-26 06:44:05 -876 173
2025-09-26 06:45:05 -90 413
2025-09-26 06:46:05 -596 374
2025-09-26 06:47:05 -522 208
2025-09-26 06:48:05 -217 307
2025-09-26 06:49:05 -257 367
2025-09-26 06:50:05 -843 146
2025-09-26 06:51:05 -411 114
2025-09-26 06:52:05 -653 113
2025-09-26 06:53:05 -948 186
2025-09-26 06:54:05 -579 246
2025-09-26 06:55:05 -853 81
2025-09-26 06:56:05 -200 339
2025-09-26 06:57:05 -540 392
2025-09-26 06:58:05 -181 402
2025-09-26 06:59:05 -163 406
2025-09-26 07:00:05 -219 455
2025-09-26 07:01:05 -688 465
2025-09-26 07:02:05 -486 282
2025-09-26 07:03:05 -346 229
2025-09-26 07:04:05 -676 161
2025-09-26 07:05:05 -175 234
2025-09-26 07:06:05 -916 120
2025-09-26 07:07:05 -541 320
2025-09-26 07:08:05 -205 459
2025-09-26 07:09:05 -920 92
2025-09-26 07:10:05 -843 483
2025-09-26 07:11:05 -897 264
2025-09-26 07:12:05 -73 186
2025-09-26 07:13:05 -776 199
2025-09-26 07:14:05 -481 242
2025-09-26 07:15:05 -535 53
2025-09-26 07:16:05 -286 278
2025-09-26 07:17:05 -1000 498
2025-09-26 07:18:05 -448 361
2025-09-26 07:19:05 -747 329
2025-09-26 07:20:05 -720 339
2025-09-26 07:21:05 -900 481
2025-09-26 07:22:05 -979 158
2025-09-26 07:23:05 -932 144
2025-09-26 07:24:05 -432 278
2025-09-26 07:25:05 -120 164
2025-09-26 07:26:05 -351 385
2025-09-26 07:27:05 -315 232
2025-09-26 07:28:05 -609 494
2025-09-26 07:29:05 -493 99
2025-09-26 07:30:05 -748 464
2025-09-26 07:31:05 -508 416
2025-09-26 07:32:05 -108 299
2025-09-26 07:33:05 -291 141
2025-09-26 07:34:05 -472 152
2025-09-26 07:35:05 -963 206
2025-09-26 07:36:05 -217 351
2025-09-26 07:37:05 -697 398
2025-09-26 07:38:05 -527 446
2025-09-26 07:39:05 -864 251
2025-09-26 07:40:05 -785 494
2025-09-26 07:41:05 -409 209
2025-09-26 07:42:05 -63 211
2025-09-26 07:43:05 -701 106
2025-09-26 07:44:05 -980 142
2025-09-26 07:45:05 -825 116
2025-09-26 07:46:05 -439 117
2025-09-26 07:47:05 -262 348
2025-09-26 07:48:05 -287 151
2025-09-26 07:49:05 -509 338
2025-09-26 07:50:05 -176 97
2025-09-26 07:51:05 -77 329
2025-09-26 07:52:05 -246 149
2025-09-26 07:53:05 -655 324
2025-09-26 07:54:05 -647 279
2025-09-26 07:55:05 -277 375
2025-09-26 07:56:05 -286 306
2025-09-26 07:57:05 -719 282
2025-09-26 07:58:05 -880 127
2025-09-26 07:59:05 -591 203
2025-09-26 08:00:05 -534 308
2025-09-26 08:01:05 -69 166
2025-09-26 08:02:05 -835 359
2025-09-26 08:03:05 -697 274
2025-09-26 08:04:05 -279 262
2025-09-26 08:05:05 -480 452
2025-09-26 08:06:05 -141 392
2025-09-26 08:07:05 -313 53
2025-09-26 08:08:05 -753 176
2025-09-26 08:09:05 -656 106
2025-09-26 08:10:05 -139 74
2025-09-26 08:11:05 -785 256
2025-09-26 08:12:05 -308 213
2025-09-26 08:13:05 -441 383
2025-09-26 08:14:05 -830 460
2025-09-26 08:15:05 -241 112
2025-09-26 08:16:05 -750 85
2025-09-26 08:17:05 -919 202
2025-09-26 08:18:05 -530 143
2025-09-26 08:19:05 -689 70
2025-09-26 08:20:05 -606 283
2025-09-26 08:21:05 -813 238
2025-09-26 08:22:05 -645 217
2025-09-26 08:23:05 -62 73
2025-09-26 08:24:05 -598 355
2025-09-26 08:25:05 -164 412
2025-09-26 08:26:05 -148 482
2025-09-26 08:27:05 -873 165
2025-09-26 08:28:05 -655 317
2025-09-26 08:29:05 -948 244
2025-09-26 08:30:05 -211 283
2025-09-26 08:31:05 -450 151
2025-09-26 08:32:05 -801 154
2025-09-26 08:33:05 -936 79
2025-09-26 08:34:05 -559 156
2025-09-26 08:35:05 -190 134
2025-09-26 08:36:05 -373 345
2025-09-26 08:37:05 -405 68
2025-09-26 08:38:05 -359 225
2025-09-26 08:39:05 -286 315
2025-09-26 08:40:05 -598 388
2025-09-26 08:41:05 -251 95
2025-09-26 08:42:05 -366 54
2025-09-26 08:43:05 -416 89
2025-09-26 08:44:05 -279 232
2025-09-26 08:45:05 -673 495
2025-09-26 08:46:05 -561 212
2025-09-26 08:47:05 -600 133
2025-09-26 08:48:05 -241 106
2025-09-26 08:49:05 -987 360
2025-09-26 08:50:05 -193 422
2025-09-26 08:51:05 -212 453
2025-09-26 08:52:05 -261 122
2025-09-26 08:53:05 -212 52
2025-09-26 08:54:05 -242 265
2025-09-26 08:55:05 -293 256
